cif,formula,grupo_espacial,sitios,elementos,predicho_como,valor_salida_red
1008870,Os,194,1,1,No_perovskita,25.52
1008871,Ir3.52Os0.48,225,1,2,No_perovskita,25.52
1010068,Cl2,138,1,1,No_perovskita,25.52
1010091,I,64,1,1,No_perovskita,25.52
1010096,Br,64,1,1,No_perovskita,25.52
1010148,Ne,225,1,1,No_perovskita,25.52
1010325,P,64,1,1,No_perovskita,25.52
1010490,N2,198,1,1,No_perovskita,25.52
1011098,Te,152,1,1,No_perovskita,25.52
1011103,Pt,225,1,1,No_perovskita,25.52
1011104,Pd,225,1,1,No_perovskita,25.52
1011119,Pb,225,1,1,No_perovskita,25.52
1011346,SbAs,166,1,2,No_perovskita,25.52
1100108,Fe,229,1,1,No_perovskita,25.52
1100136,Ag,225,1,1,No_perovskita,25.52
1100138,Au,225,1,1,No_perovskita,25.52
1502689,Al,225,1,1,No_perovskita,25.52
1506411,V,229,1,1,No_perovskita,25.52
1508973,In0.222Ag0.204Sb4.584Te0.99,166,1,4,No_perovskita,25.52
1508995,Zn1.5Ag0.5,194,1,2,No_perovskita,25.52
1508998,Cd1.88Ag2.12,63,1,2,No_perovskita,25.52
1509008,Zn1.39Ag0.61,194,1,2,No_perovskita,25.52
1509011,Al0.7Ag1.3,194,1,2,No_perovskita,25.52
1509028,In0.6Ag1.4,194,1,2,No_perovskita,25.52
1509032,Al0.5Ag1.5,229,1,2,No_perovskita,25.52
1509033,Tl0.6Ag3Bi0.4,225,1,3,No_perovskita,25.52
1509034,Cd0.4In0.6Ag3,225,1,3,No_perovskita,25.52
1509035,Ga0.5Ag1.5,194,1,2,No_perovskita,25.52
1509036,In0.5Ag1.5,194,1,2,No_perovskita,25.52
1509038,Al0.8Ag3.2,225,1,2,No_perovskita,25.52
1509041,Ag1.6Bi0.4,194,1,2,No_perovskita,25.52
1509043,Ag1.6Ge0.4,194,1,2,No_perovskita,25.52
1509045,Mg0.8Ag3.2,225,1,2,No_perovskita,25.52
1509046,Ag0.816Pt3.184,225,1,2,No_perovskita,25.52
1509047,Ag1.6Sn0.4,194,1,2,No_perovskita,25.52
1509051,Ag1.72Sb0.28,194,1,2,No_perovskita,25.52
1509056,Ag3.64Pt0.36,225,1,2,No_perovskita,25.52
1509057,Er0.2Ag3.8,225,1,2,No_perovskita,25.52
1509060,Tm0.16Ag3.84,225,1,2,No_perovskita,25.52
1509062,Ce0.06Ag3.94,225,1,2,No_perovskita,25.52
1509065,Cu1.44Ag0.72Pd0.36Au1.48,225,1,4,No_perovskita,25.52
1509066,Al3.808Ag0.192,225,1,2,No_perovskita,25.52
1509069,Mn3.8Ag0.2,225,1,2,No_perovskita,25.52
1509077,AgPd2Au,225,1,3,No_perovskita,25.52
1509079,Cu3.96Ag0.04,225,1,2,No_perovskita,25.52
1509087,Cd1.9Ag0.1,194,1,2,No_perovskita,25.52
1509088,Fe1.4Ag0.6,229,1,2,No_perovskita,25.52
1509090,Mn0.2Zn1.5Ag0.3,194,1,3,No_perovskita,25.52
1509097,Mg1.948Ag0.052,194,1,2,No_perovskita,25.52
1509105,Ti1.86Ag0.14,194,1,2,No_perovskita,25.52
1509111,Cd1.58Ag0.42,194,1,2,No_perovskita,25.52
1509112,Fe2.4Ag1.6,225,1,2,No_perovskita,25.52
1509119,Ag0.396Pd3.604,225,1,2,No_perovskita,25.52
1509121,Cd1.02Ag0.98,229,1,2,No_perovskita,25.52
1509122,Cd1.01Ag0.99,194,1,2,No_perovskita,25.52
1509126,Cd1.5Ag0.5,194,1,2,No_perovskita,25.52
1509138,Po,221,1,1,No_perovskita,25.52
1509139,Ra,229,1,1,No_perovskita,25.52
1509145,Ag,194,1,1,No_perovskita,25.52
1509170,Zn0.5Cd0.5Ag1,229,1,3,No_perovskita,25.52
1509173,CdAg,229,1,2,No_perovskita,25.52
1509174,CdAg,194,1,2,No_perovskita,25.52
1509205,AgAu,225,1,2,No_perovskita,25.52
1509510,Ag1.96Pd2.04,225,1,2,No_perovskita,25.52
1509515,AgPt,225,1,2,No_perovskita,25.52
1509568,ZnAg,229,1,2,No_perovskita,25.52
1509579,Ag1.1Hg0.9,194,1,2,No_perovskita,25.52
1509582,Al2.8Ag1.2,225,1,2,No_perovskita,25.52
1509589,Al0.666Ag1.334,194,1,2,No_perovskita,25.52
1509598,Ag1.5Ge0.5,194,1,2,No_perovskita,25.52
1509604,Mn0.1Ag1.6Sn0.3,194,1,3,No_perovskita,25.52
1509605,Si0.4Ag1.6,194,1,2,No_perovskita,25.52
1509611,Ag1.7Sb0.3,194,1,2,No_perovskita,25.52
1509616,Ag1.96Sn0.08Pd1.96,225,1,3,No_perovskita,25.52
1509735,Cd1.6Ag2.4,225,1,2,No_perovskita,25.52
1509746,Cd0.988In0.2Ag2.812,225,1,3,No_perovskita,25.52
1509747,Ag2.8Hg1.2,225,1,2,No_perovskita,25.52
1509748,Mn1.2Ag2.8,225,1,2,No_perovskita,25.52
1509826,In0.6Ag3.4,225,1,2,No_perovskita,25.52
1509827,Mn0.648Ag3.352,225,1,2,No_perovskita,25.52
1509828,Ag3.48Sn0.52,225,1,2,No_perovskita,25.52
1509831,Ga0.464Ag3.536,225,1,2,No_perovskita,25.52
1509832,Al0.22Ag3.56Sn0.22,225,1,3,No_perovskita,25.52
1509833,La0.4Ag3.6,225,1,2,No_perovskita,25.52
1509835,Ag3.6Sn0.4,225,1,2,No_perovskita,25.52
1509837,Al0.18Ag3.64Ge0.18,225,1,3,No_perovskita,25.52
1509838,Sc0.36Ag3.64,225,1,2,No_perovskita,25.52
1509839,Ag3.68Sb0.32,225,1,2,No_perovskita,25.52
1509840,Ag3.68Sn0.32,225,1,2,No_perovskita,25.52
1509841,Tl0.32Ag3.68,225,1,2,No_perovskita,25.52
1509842,Ag3.7Sb0.3,225,1,2,No_perovskita,25.52
1509844,Ag3.72As0.28,225,1,2,No_perovskita,25.52
1509846,Er0.24Ag3.76,225,1,2,No_perovskita,25.52
1509847,Gd0.24Ag3.76,225,1,2,No_perovskita,25.52
1509848,Lu0.18Ag3.82,225,1,2,No_perovskita,25.52
1509851,Tb0.2Ag3.8,225,1,2,No_perovskita,25.52
1509853,Ag3.84Sb0.16,225,1,2,No_perovskita,25.52
1509854,Cu0.12Ag3.88,225,1,2,No_perovskita,25.52
1509855,Nd0.12Ag3.88,225,1,2,No_perovskita,25.52
1509857,Ag3.88Pb0.12,225,1,2,No_perovskita,25.52
1509858,Pr0.1Ag3.9,225,1,2,No_perovskita,25.52
1509859,Ag3.9Bi0.1,225,1,2,No_perovskita,25.52
1509860,Y0.08Ag3.92,225,1,2,No_perovskita,25.52
1509862,Ag3.984Bi0.016,225,1,2,No_perovskita,25.52
1509864,Ag3.98Pb0.02,225,1,2,No_perovskita,25.52
1509865,Sm0.02Ag3.98,225,1,2,No_perovskita,25.52
1509866,Tb0.032Ag3.968,225,1,2,No_perovskita,25.52
1509867,Yb0.04Ag3.96,225,1,2,No_perovskita,25.52
1509868,Eu0.012Ag3.988,225,1,2,No_perovskita,25.52
1509962,CdAg3,225,1,2,No_perovskita,25.52
1510049,In0.76Ag3.24,225,1,2,No_perovskita,25.52
1510051,In0.7Ag3.3,225,1,2,No_perovskita,25.52
1510053,Ag3.46Ge0.54,225,1,2,No_perovskita,25.52
1510055,Fe1.9Au0.1,229,1,2,No_perovskita,25.52
1510067,Zn1.76Au0.24,194,1,2,No_perovskita,25.52
1510093,Fe0.06Te0.659Au0.281,221,1,3,No_perovskita,25.52
1510106,Mn0.02Te0.686Au0.294,221,1,3,No_perovskita,25.52
1510112,CuAu,225,1,2,No_perovskita,25.52
1510116,Nb1.4Au0.6,229,1,2,No_perovskita,25.52
1510133,V2.8Au1.2,225,1,2,No_perovskita,25.52
1510142,Cd1.94Au0.06,194,1,2,No_perovskita,25.52
1510153,Fe3.648Au0.352,225,1,2,No_perovskita,25.52
1510193,Pd3.6Au0.4,225,1,2,No_perovskita,25.52
1510211,Cd1.5Au0.5,139,1,2,No_perovskita,25.52
1510218,Fe0.04Cu1.96Au2,225,1,3,No_perovskita,25.52
1510258,Nb1.5Au0.5,229,1,2,No_perovskita,25.52
1510259,NiAu,225,1,2,No_perovskita,25.52
1510274,PdAu,225,1,2,No_perovskita,25.52
1510278,PtAu,225,1,2,No_perovskita,25.52
1510313,TiAu,194,1,2,No_perovskita,25.52
1510335,V1.92Au2.08,225,1,2,No_perovskita,25.52
1510338,Pd1.8Au2.2,225,1,2,No_perovskita,25.52
1510341,Cd0.666Au1.334,194,1,2,No_perovskita,25.52
1510342,Ge0.56Au1.44,194,1,2,No_perovskita,25.52
1510347,In0.4Au1.6,194,1,2,No_perovskita,25.52
1510350,Fe0.08Sn0.28Au1.64,194,1,3,No_perovskita,25.52
1510351,Mn0.08Sn0.28Au1.64,194,1,3,No_perovskita,25.52
1510354,Sn0.22Au1.78,194,1,2,No_perovskita,25.52
1510383,In0.4Cu0.24Au1.36,194,1,3,No_perovskita,25.52
1510411,Zn1.892Au0.108,194,1,2,No_perovskita,25.52
1510430,Cu0.8Au3.2,225,1,2,No_perovskita,25.52
1510448,Nb0.76Au3.24,225,1,2,No_perovskita,25.52
1510464,Sn0.3Au1.7,194,1,2,No_perovskita,25.52
1510473,V0.6Au3.4,225,1,2,No_perovskita,25.52
1510479,Cr1.2Au2.8,225,1,2,No_perovskita,25.52
1510502,Cu3.88Au0.12,225,1,2,No_perovskita,25.52
1510511,Zr0.3Au3.7,225,1,2,No_perovskita,25.52
1510524,Mn0.752Au3.248,225,1,2,No_perovskita,25.52
1510525,Hg0.6Au3.4,225,1,2,No_perovskita,25.52
1510526,Co0.36Au3.64,225,1,2,No_perovskita,25.52
1510527,Ga0.4Au3.6,225,1,2,No_perovskita,25.52
1510528,In0.4Au3.6,225,1,2,No_perovskita,25.52
1510529,In0.32Au3.68,225,1,2,No_perovskita,25.52
1510532,Ge0.1Au3.9,225,1,2,No_perovskita,25.52
1510533,Dy0.084Au3.916,225,1,2,No_perovskita,25.52
1510538,Lu0.24Au3.76,225,1,2,No_perovskita,25.52
1510546,Sn0.24Au3.76,225,1,2,No_perovskita,25.52
1510557,Er0.22Au3.78,225,1,2,No_perovskita,25.52
1510597,Cu3.2Au0.8,225,1,2,No_perovskita,25.52
1510608,Os1Ir2.2Au0.8,225,1,3,No_perovskita,25.52
1511051,Nd0.164Fe1.648Si0.07B0.118,229,1,4,No_perovskita,25.52
1511091,Fe1.82B0.18,229,1,2,No_perovskita,25.52
1511122,Ce0.098Fe1.658B0.244,229,1,3,No_perovskita,25.52
1511128,Dy0.098Fe1.658B0.244,229,1,3,No_perovskita,25.52
1511136,Er0.098Fe1.658B0.244,229,1,3,No_perovskita,25.52
1511147,Ho0.098Fe1.658B0.244,229,1,3,No_perovskita,25.52
1511156,Tb0.098Fe1.658B0.244,229,1,3,No_perovskita,25.52
1511165,Y0.098Fe1.658B0.244,229,1,3,No_perovskita,25.52
1511276,Ce0.174Fe1.74B0.086,229,1,3,No_perovskita,25.52
1511363,Dy0.174Fe1.74B0.086,229,1,3,No_perovskita,25.52
1511437,Gd0.174Fe1.74B0.086,229,1,3,No_perovskita,25.52
