cif,formula,tipo_compuesto_real,compuesto_predicho_como,valor_salida_red,grupo_espacial,numero_sitios,numero_elementos
1000179,Na0.22Fe2F6,Perovskita,Perovskita,87.07,167,3,3.0
1000293,PrNiO3,Perovskita,Perovskita,96.31,167,3,3.0
1000307,LaNiO3,Perovskita,Perovskita,96.17,167,3,3.0
1001054,Ba1Ta0.5Co0.5O3,Perovskita,Perovskita,97.62,221,3,4.0
1001124,Y0.24Ta0.72W0.28O3,Perovskita,Perovskita,91.53,221,3,4.0
1001184,Ca0.5Ta1O3,Perovskita,Perovskita,89.43,221,3,3.0
1001185,Ta1Sn0.25O3,Perovskita,Perovskita,89.85,221,3,3.0
1001186,Ca0.91Ta0.84O3,Perovskita,No_perovskita,23.39,221,3,3.0
1001775,TaSnO3,Perovskita,Perovskita,94.15,221,3,3.0
1004099,K0.13Ba0.87Bi1O3,Perovskita,Perovskita,92.93,221,3,4.0
1008110,Mn3GaC,Perovskita,Perovskita,79.51,221,3,3.0
1009044,Mn3NiN,Perovskita,Perovskita,87.44,221,3,3.0
1009045,Mn3PdN,Perovskita,Perovskita,85.83,221,3,3.0
1009048,Mn3RhN,Perovskita,Perovskita,88.53,221,3,3.0
1009051,Mn3ZnN,Perovskita,Perovskita,87.83,221,3,3.0
1009074,Mn3GaN,Perovskita,Perovskita,88.25,221,3,3.0
1010118,CsHgBr3,Perovskita,No_perovskita,2.79,221,3,3.0
1010119,Cs1Hg1Br2.01Cl0.99,Perovskita,No_perovskita,2.77,221,3,4.0
1010120,Cs1Hg1Br0.99Cl2.01,Perovskita,No_perovskita,2.71,221,3,4.0
1010122,CsCdBr3,Perovskita,No_perovskita,2.7,221,3,3.0
1010123,CsCdCl3,Perovskita,No_perovskita,3.01,221,3,3.0
1010322,Cs1Ag0.5Au0.5Cl3,Perovskita,No_perovskita,2.73,221,3,4.0
1010323,Cs1Au1Cl3,Perovskita,Perovskita,72.44,221,3,3.0
1010406,BaCeO3,Perovskita,Perovskita,97.32,221,3,3.0
1010407,BaThO3,Perovskita,Perovskita,97.3,221,3,3.0
1010419,NaWO3,Perovskita,Perovskita,58.4,221,3,3.0
1010420,Na0.35W1O3,Perovskita,Perovskita,82.84,221,3,3.0
1010424,SrZrO3,Perovskita,Perovskita,97.31,221,3,3.0
1010425,SrHfO3,Perovskita,Perovskita,97.31,221,3,3.0
1010900,CsIO3,Perovskita,No_perovskita,6.55,221,3,3.0
1010902,TiCdO3,Perovskita,Perovskita,94.23,221,3,3.0
1010928,CaCO3,Perovskita,Perovskita,93.9,167,3,3.0
1011029,NaNO3,Perovskita,No_perovskita,9.09,167,3,3.0
1011064,NaNbO3,Perovskita,No_perovskita,43.98,221,3,3.0
1011211,CaTiO3,Perovskita,Perovskita,97.3,221,3,3.0
1011212,Na0.3Ca0.7Ti0.7Nb0.3O3,Perovskita,Perovskita,97.09,221,3,5.0
1011228,MnCO3,Perovskita,No_perovskita,19.63,167,3,3.0
1100063,MgNi3C,Perovskita,No_perovskita,22.07,221,3,3.0
1501486,Mg0.213Ti0.36Nb0.427Pb1O3,Perovskita,Perovskita,72.94,221,3,5.0
1501488,Mg0.227Ti0.32Nb0.453Pb1O3,Perovskita,Perovskita,68.8,221,3,5.0
1501507,Mg0.25Ti0.25Nb0.5Pb1O3,Perovskita,Perovskita,61.82,221,3,5.0
1508503,LaAlO3,Perovskita,Perovskita,97.75,167,3,3.0
1509463,Mn3AgN,Perovskita,Perovskita,88.23,221,3,3.0
1509477,Ta0.5Nb0.5Ag1O3,Perovskita,Perovskita,64.98,221,3,4.0
1510068,Ca3AuN,Perovskita,Perovskita,88.44,221,3,3.0
1510091,CsAuCl3,Perovskita,No_perovskita,3.1,221,3,3.0
1510209,K3AuO,Perovskita,Perovskita,88.54,221,3,3.0
1510243,V3AuN,Perovskita,No_perovskita,35.64,221,3,3.0
1510260,Rb3AuO,Perovskita,Perovskita,89.08,221,3,3.0
1511029,CeBPd3,Perovskita,No_perovskita,38.62,221,3,3.0
1511032,CeBRh3,Perovskita,Perovskita,56.56,221,3,3.0
1511090,DyBPd3,Perovskita,No_perovskita,33.28,221,3,3.0
1511092,DyBRh3,Perovskita,Perovskita,55.97,221,3,3.0
1511099,Er1B1Pd1.8Rh1.2,Perovskita,No_perovskita,40.19,221,3,4.0
1511100,ErBPd3,Perovskita,No_perovskita,23.99,221,3,3.0
1511101,Er1B1Rh1.8Pt1.2,Perovskita,Perovskita,51.65,221,3,4.0
1511103,Sc1B0.21Rh3,Perovskita,Perovskita,82.89,221,3,3.0
1511115,EuBPd3,Perovskita,No_perovskita,37.37,221,3,3.0
1511131,FeBO3,Perovskita,No_perovskita,6.51,167,3,3.0
1511167,GdBRh3,Perovskita,Perovskita,56.68,221,3,3.0
1511174,Er1B0.4Pt3,Perovskita,Perovskita,62.18,221,3,3.0
1511182,HoBPd3,Perovskita,No_perovskita,27.59,221,3,3.0
1511183,HoBRh3,Perovskita,Perovskita,54.73,221,3,3.0
1511189,Sc3InB,Perovskita,Perovskita,79.87,221,3,3.0
1511193,Sc1B0.444Rh3,Perovskita,Perovskita,69.92,221,3,3.0
1511195,ScBIr3,Perovskita,No_perovskita,35.47,221,3,3.0
1511209,Er1B0.5Pd3,Perovskita,Perovskita,69.7,221,3,3.0
1511210,LaBRh3,Perovskita,Perovskita,56.35,221,3,3.0
1511226,Ce1B0.55Rh3,Perovskita,Perovskita,72.25,221,3,3.0
1511230,LuBRh3,Perovskita,No_perovskita,49.68,221,3,3.0
1511233,Ce1B0.6Pd3,Perovskita,Perovskita,63.47,221,3,3.0
1511260,NdBPd3,Perovskita,No_perovskita,39.3,221,3,3.0
1511263,NdBRh3,Perovskita,Perovskita,56.37,221,3,3.0
1511293,Sc3BPb,Perovskita,Perovskita,80.1,221,3,3.0
1511296,PrBPd3,Perovskita,No_perovskita,39.98,221,3,3.0
1511297,SmBPd3,Perovskita,No_perovskita,37.86,221,3,3.0
1511298,Sc1B0.706Rh3,Perovskita,Perovskita,71.93,221,3,3.0
1511299,TbBPd3,Perovskita,No_perovskita,36.5,221,3,3.0
1511300,TmBPd3,Perovskita,No_perovskita,20.25,221,3,3.0
1511301,YbBPd3,Perovskita,No_perovskita,37.44,221,3,3.0
1511303,PrBRh3,Perovskita,Perovskita,55.82,221,3,3.0
1511308,U1B0.75Ru3,Perovskita,Perovskita,69.54,221,3,3.0
1511312,ScBRh3,Perovskita,No_perovskita,36.54,221,3,3.0
1511314,SmBRh3,Perovskita,Perovskita,56.94,221,3,3.0
1511315,TbBRh3,Perovskita,Perovskita,56.79,221,3,3.0
1511316,TmBRh3,Perovskita,Perovskita,52.27,221,3,3.0
1511318,U1B0.8Rh3,Perovskita,Perovskita,60.02,221,3,3.0
1511319,YBRh3,Perovskita,Perovskita,55.46,221,3,3.0
1511320,YbBRh3,Perovskita,Perovskita,56.87,221,3,3.0
1511324,Sc3SnB,Perovskita,Perovskita,80.42,221,3,3.0
1511325,Sc3TlB,Perovskita,Perovskita,78.93,221,3,3.0
1511434,Er1B0.98Rh3,Perovskita,Perovskita,57.04,221,3,3.0
1512117,SrVO3,Perovskita,Perovskita,97.47,221,3,3.0
1512124,SrTiO3,Perovskita,Perovskita,97.39,221,3,3.0
1520321,GaBO3,Perovskita,No_perovskita,8.77,167,3,3.0
1520883,Ba0.8Fe0.8Bi0.4O2.601,Perovskita,Perovskita,97.43,221,3,4.0
1520889,Ba0.89Fe0.74Bi0.37O2.5551,Perovskita,Perovskita,97.55,221,3,4.0
1520890,Ba0.7Fe0.9Bi0.4O2.67,Perovskita,Perovskita,97.04,221,3,4.0
1520894,Sr0.667Pr0.333Fe1O2.679,Perovskita,Perovskita,97.55,221,3,4.0
1520952,Ba1.35La4.65Mn6O18,Perovskita,Perovskita,97.74,167,3,4.0
1521039,Sr0.74Ca0.26V1O3,Perovskita,Perovskita,97.44,221,3,4.0
1521063,BaCeO3,Perovskita,Perovskita,97.27,167,3,3.0
1521105,La4.2Mn5.4Fe0.6Pb1.8O18,Perovskita,Perovskita,96.26,167,3,5.0
1521106,La4.2Mn5.4Ni0.6Pb1.8O18,Perovskita,Perovskita,96.62,167,3,5.0
1521156,Sr1.8La4.2Mn6O18,Perovskita,Perovskita,97.71,167,3,4.0
1521175,PrAlO3,Perovskita,Perovskita,97.77,167,3,3.0
1521187,LaGaO3,Perovskita,Perovskita,97.35,167,3,3.0
1521195,LaAlO3,Perovskita,Perovskita,97.49,221,3,3.0
1521246,Na0.6Sr0.4Ta1O3,Perovskita,Perovskita,94.49,221,3,4.0
1521248,Na0.7Sr0.3Ta1O3,Perovskita,Perovskita,94.05,221,3,4.0
1521267,Ba0.256Sr0.744Ti1O3,Perovskita,Perovskita,97.47,221,3,4.0
1521268,Ba0.2496Sr0.7488Zr0.2832Ti0.7152O3,Perovskita,Perovskita,97.36,221,3,5.0
1521269,Ba0.272Sr0.728Zr0.4032Ti0.5968O3,Perovskita,Perovskita,97.33,221,3,5.0
1521335,Sr0.4La1.6Mn2O5.802,Perovskita,Perovskita,97.41,167,3,4.0
1521435,D3LiEu,Perovskita,Perovskita,95.91,221,3,3.0
1521712,Ba1Ce0.1Zr0.9O3,Perovskita,Perovskita,97.34,221,3,4.0
1521713,Ba6Ce2.4Zr3.6O18,Perovskita,Perovskita,97.36,167,3,4.0
1521715,Ba1Ce0.4Zr0.6O3,Perovskita,Perovskita,97.31,221,3,4.0
1521716,Ba6Ce4.8Zr1.2O18,Perovskita,Perovskita,97.32,167,3,4.0
1521717,Ba1Ce0.8Zr0.2O3,Perovskita,Perovskita,97.25,221,3,4.0
1521720,Ba0.5La0.5Fe0.5Cu0.5O2.67,Perovskita,Perovskita,97.49,221,3,5.0
1521746,Sc0.48Nb0.52Pb1O3,Perovskita,Perovskita,50.43,221,3,4.0
1521772,LiNbO3,Perovskita,Perovskita,76.57,167,3,3.0
1521791,LaMnO3,Perovskita,Perovskita,97.7,167,3,3.0
1521793,Sr1.02La4.32Mn6O15.498F1.998,Perovskita,Perovskita,97.15,167,3,5.0
1521795,Sr1.92La4.002Mn6O14.004F3.798,Perovskita,Perovskita,97.71,167,3,5.0
1521797,Sr2.1La3.798Mn6O11.808F5.796,Perovskita,Perovskita,97.71,167,3,5.0
1521815,Sr0.96Ca0.04Ti1O3,Perovskita,Perovskita,97.37,221,3,4.0
1521819,Na0.6La5.4Mn6O18,Perovskita,Perovskita,97.54,167,3,4.0
1521850,La6Ti0.6Ni5.4O18,Perovskita,Perovskita,96.76,167,3,4.0
1521879,La4.8Eu1.2Ni6O18,Perovskita,Perovskita,95.89,167,3,4.0
1522003,La1.912Mn1.53Cr0.382O6,Perovskita,Perovskita,96.93,167,3,4.0
1522004,La1.902Mn1.902O6,Perovskita,Perovskita,96.9,167,3,3.0
1522061,Ba0.8La0.2In1O2.598,Perovskita,Perovskita,97.46,221,3,4.0
1522062,Ba0.6La0.4In1O2.7,Perovskita,Perovskita,97.4,221,3,4.0
1522064,Ba1In0.75Ga0.25O2.4999,Perovskita,Perovskita,97.47,221,3,4.0
1522066,Ba1In0.65Ga0.35O2.4999,Perovskita,Perovskita,97.49,221,3,4.0
1522088,Ba0.829Sr0.171Ce0.11Ti0.89O3,Perovskita,Perovskita,97.6,221,3,5.0
1522090,Ba0.592Sr0.408Ti1O3,Perovskita,Perovskita,97.54,221,3,4.0
1522092,Ba0.994Sr0.006Ce0.063Ti0.937O3,Perovskita,Perovskita,97.67,221,3,5.0
1522293,Sr1Nb0.5Co0.5O3,Perovskita,Perovskita,97.45,221,3,4.0
1522299,Ba1Nb0.5Co0.5O3,Perovskita,Perovskita,97.48,221,3,4.0
1523227,Ti3.2Hg0.8N1,Perovskita,No_perovskita,25.66,221,3,3.0
1523788,Nd3GaN,Perovskita,No_perovskita,46.6,221,3,3.0
1525461,Ca3SnO,Perovskita,Perovskita,89.96,221,3,3.0
1525463,Sr3PbO,Perovskita,Perovskita,89.89,221,3,3.0
1525465,Ba3SnO,Perovskita,Perovskita,89.64,221,3,3.0
1525549,Sr1Ti0.1Fe0.9O2.949,Perovskita,Perovskita,97.45,221,3,4.0
1525673,CsPbF3,Perovskita,Perovskita,93.11,221,3,3.0
1525709,K0.38Ba0.62Bi1O3,Perovskita,Perovskita,95.78,221,3,4.0
1525812,Sr1.2Ca1.2La3.6Mn6O18,Perovskita,Perovskita,97.68,167,3,5.0
1525854,SrLa(CoO3)2,Perovskita,Perovskita,96.72,167,3,4.0
1525856,K0.48La4.98Mn6O17.154,Perovskita,Perovskita,97.15,167,3,4.0
1525858,Na0.72La4.74Mn6O16.866,Perovskita,Perovskita,97.12,167,3,4.0
1526178,LaCrO3,Perovskita,Perovskita,97.52,167,3,3.0
1526256,Sr1Fe0.6667Te0.3333O3,Perovskita,Perovskita,96.89,221,3,4.0
1526365,Ba0.5La0.5Mn0.5Ru0.5O3,Perovskita,Perovskita,97.33,221,3,5.0
1526405,Na1.32La3.99Ti4.68Mn1.32O18,Perovskita,Perovskita,95.34,167,3,5.0
1526420,Li0.5La0.5Ti1O3,Perovskita,Perovskita,96.12,221,3,4.0
1526437,Nd1Ge0.54Rh0.79,Perovskita,Perovskita,65.66,221,3,3.0
1526628,K0.4Ba0.6Bi1O3,Perovskita,Perovskita,95.72,221,3,4.0
1526747,Sr0.8Ca0.2Fe1O3,Perovskita,Perovskita,97.06,221,3,4.0
1526755,Ba6Ce4.2Y1.8O17.1,Perovskita,Perovskita,97.33,167,3,4.0
1526757,Ba6Ce4.8Y1.2O17.406,Perovskita,Perovskita,97.33,167,3,4.0
1526765,Ba6Ce4.5Y1.5O17.244,Perovskita,Perovskita,97.33,167,3,4.0
1526868,La4.38Nd1.62Ga6O18,Perovskita,Perovskita,97.28,167,3,4.0
1526875,La5.4Sm0.6Ga6O18,Perovskita,Perovskita,97.26,167,3,4.0
