cif,formula,tipo_compuesto_real,compuesto_predicho_como,valor_salida_red,grupo_espacial,numero_sitios,numero_elementos
1000179,Na0.22Fe2F6,Perovskita,Perovskita,82.31,167,3,3.0
1000293,PrNiO3,Perovskita,Perovskita,99.67,167,3,3.0
1000307,LaNiO3,Perovskita,Perovskita,99.67,167,3,3.0
1001054,Ba1Ta0.5Co0.5O3,Perovskita,Perovskita,99.68,221,3,4.0
1001124,Y0.24Ta0.72W0.28O3,Perovskita,Perovskita,99.76,221,3,4.0
1001184,Ca0.5Ta1O3,Perovskita,Perovskita,99.71,221,3,3.0
1001185,Ta1Sn0.25O3,Perovskita,Perovskita,99.1,221,3,3.0
1001775,TaSnO3,Perovskita,Perovskita,99.45,221,3,3.0
1004099,K0.13Ba0.87Bi1O3,Perovskita,Perovskita,94.25,221,3,4.0
1008110,Mn3GaC,Perovskita,Perovskita,99.47,221,3,3.0
1009040,Mn3IrN,Perovskita,Perovskita,99.84,221,3,3.0
1009044,Mn3NiN,Perovskita,Perovskita,99.61,221,3,3.0
1009045,Mn3PdN,Perovskita,Perovskita,99.74,221,3,3.0
1009046,Mn3PtN,Perovskita,Perovskita,99.85,221,3,3.0
1009048,Mn3RhN,Perovskita,Perovskita,99.83,221,3,3.0
1009050,Mn3SnN,Perovskita,Perovskita,99.81,221,3,3.0
1009051,Mn3ZnN,Perovskita,Perovskita,96.57,221,3,3.0
1009074,Mn3GaN,Perovskita,Perovskita,99.7,221,3,3.0
1010118,CsHgBr3,Perovskita,Perovskita,95.93,221,3,3.0
1010119,Cs1Hg1Br2.01Cl0.99,Perovskita,Perovskita,95.85,221,3,4.0
1010120,Cs1Hg1Br0.99Cl2.01,Perovskita,Perovskita,95.79,221,3,4.0
1010121,CsHgCl3,Perovskita,Perovskita,95.77,221,3,3.0
1010323,Cs1Au1Cl3,Perovskita,Perovskita,99.78,221,3,3.0
1010406,BaCeO3,Perovskita,Perovskita,99.65,221,3,3.0
1010407,BaThO3,Perovskita,Perovskita,99.76,221,3,3.0
1010419,NaWO3,Perovskita,Perovskita,98.26,221,3,3.0
1010420,Na0.35W1O3,Perovskita,Perovskita,99.49,221,3,3.0
1010424,SrZrO3,Perovskita,Perovskita,99.72,221,3,3.0
1010425,SrHfO3,Perovskita,Perovskita,99.71,221,3,3.0
1010900,CsIO3,Perovskita,Perovskita,97.56,221,3,3.0
1010928,CaCO3,Perovskita,Perovskita,60.55,167,3,3.0
1011029,NaNO3,Perovskita,No_perovskita,26.42,167,3,3.0
1011064,NaNbO3,Perovskita,Perovskita,92.96,221,3,3.0
1011211,CaTiO3,Perovskita,Perovskita,99.85,221,3,3.0
1011212,Na0.3Ca0.7Ti0.7Nb0.3O3,Perovskita,Perovskita,99.77,221,3,5.0
1011228,MnCO3,Perovskita,No_perovskita,48.87,167,3,3.0
1011340,LiNO3,Perovskita,No_perovskita,47.75,167,3,3.0
1100063,MgNi3C,Perovskita,No_perovskita,44.54,221,3,3.0
1501486,Mg0.213Ti0.36Nb0.427Pb1O3,Perovskita,Perovskita,98.98,221,3,5.0
1501488,Mg0.227Ti0.32Nb0.453Pb1O3,Perovskita,Perovskita,98.96,221,3,5.0
1501497,Mg0.237Ti0.29Nb0.473Pb1O3,Perovskita,Perovskita,98.95,221,3,5.0
1501507,Mg0.25Ti0.25Nb0.5Pb1O3,Perovskita,Perovskita,98.93,221,3,5.0
1507757,BaTiO3,Perovskita,Perovskita,99.3,221,3,3.0
1509463,Mn3AgN,Perovskita,Perovskita,99.71,221,3,3.0
1509477,Ta0.5Nb0.5Ag1O3,Perovskita,Perovskita,99.07,221,3,4.0
1510068,Ca3AuN,Perovskita,Perovskita,99.86,221,3,3.0
1510091,CsAuCl3,Perovskita,Perovskita,93.71,221,3,3.0
1511029,CeBPd3,Perovskita,Perovskita,99.13,221,3,3.0
1511032,CeBRh3,Perovskita,Perovskita,99.31,221,3,3.0
1511090,DyBPd3,Perovskita,Perovskita,99.11,221,3,3.0
1511092,DyBRh3,Perovskita,Perovskita,99.37,221,3,3.0
1511099,Er1B1Pd1.8Rh1.2,Perovskita,Perovskita,99.3,221,3,4.0
1511103,Sc1B0.21Rh3,Perovskita,Perovskita,98.89,221,3,3.0
1511104,ErBRh3,Perovskita,Perovskita,99.37,221,3,3.0
1511115,EuBPd3,Perovskita,Perovskita,99.03,221,3,3.0
1511131,FeBO3,Perovskita,Perovskita,88.83,167,3,3.0
1511174,Er1B0.4Pt3,Perovskita,Perovskita,99.94,221,3,3.0
1511182,HoBPd3,Perovskita,Perovskita,99.11,221,3,3.0
1511189,Sc3InB,Perovskita,Perovskita,99.62,221,3,3.0
1511193,Sc1B0.444Rh3,Perovskita,Perovskita,99.86,221,3,3.0
1511195,ScBIr3,Perovskita,Perovskita,99.37,221,3,3.0
1511209,Er1B0.5Pd3,Perovskita,Perovskita,99.94,221,3,3.0
1511210,LaBRh3,Perovskita,Perovskita,99.33,221,3,3.0
1511218,In1Ni3.5B0.5,Perovskita,No_perovskita,9.21,221,3,3.0
1511226,Ce1B0.55Rh3,Perovskita,Perovskita,99.89,221,3,3.0
1511229,LuBPd3,Perovskita,Perovskita,99.07,221,3,3.0
1511230,LuBRh3,Perovskita,Perovskita,99.38,221,3,3.0
1511233,Ce1B0.6Pd3,Perovskita,Perovskita,99.89,221,3,3.0
1511260,NdBPd3,Perovskita,Perovskita,99.11,221,3,3.0
1511263,NdBRh3,Perovskita,Perovskita,99.33,221,3,3.0
1511293,Sc3BPb,Perovskita,Perovskita,99.67,221,3,3.0
1511296,PrBPd3,Perovskita,Perovskita,99.1,221,3,3.0
1511297,SmBPd3,Perovskita,Perovskita,99.13,221,3,3.0
1511298,Sc1B0.706Rh3,Perovskita,Perovskita,98.89,221,3,3.0
1511299,TbBPd3,Perovskita,Perovskita,99.2,221,3,3.0
1511300,TmBPd3,Perovskita,Perovskita,99.09,221,3,3.0
1511301,YbBPd3,Perovskita,Perovskita,99.2,221,3,3.0
1511303,PrBRh3,Perovskita,Perovskita,99.32,221,3,3.0
1511308,U1B0.75Ru3,Perovskita,Perovskita,99.83,221,3,3.0
1511312,ScBRh3,Perovskita,Perovskita,99.36,221,3,3.0
1511314,SmBRh3,Perovskita,Perovskita,99.35,221,3,3.0
1511315,TbBRh3,Perovskita,Perovskita,99.32,221,3,3.0
1511316,TmBRh3,Perovskita,Perovskita,99.37,221,3,3.0
1511318,U1B0.8Rh3,Perovskita,Perovskita,99.43,221,3,3.0
1511319,YBRh3,Perovskita,Perovskita,99.37,221,3,3.0
1511320,YbBRh3,Perovskita,Perovskita,99.29,221,3,3.0
1511324,Sc3SnB,Perovskita,Perovskita,99.68,221,3,3.0
1511379,Th1B0.9Ru3,Perovskita,Perovskita,99.39,221,3,3.0
1511434,Er1B0.98Rh3,Perovskita,Perovskita,99.38,221,3,3.0
1512117,SrVO3,Perovskita,Perovskita,99.27,221,3,3.0
1512124,SrTiO3,Perovskita,Perovskita,99.48,221,3,3.0
1520321,GaBO3,Perovskita,Perovskita,95.08,167,3,3.0
1520883,Ba0.8Fe0.8Bi0.4O2.601,Perovskita,Perovskita,99.57,221,3,4.0
1520884,Ba0.71Fe0.86Bi0.43O2.6451,Perovskita,Perovskita,99.13,221,3,4.0
1520885,Ba1Fe0.67Bi0.33O2.499,Perovskita,Perovskita,99.87,221,3,4.0
1520889,Ba0.89Fe0.74Bi0.37O2.5551,Perovskita,Perovskita,99.75,221,3,4.0
1520890,Ba0.7Fe0.9Bi0.4O2.67,Perovskita,Perovskita,99.66,221,3,4.0
1520894,Sr0.667Pr0.333Fe1O2.679,Perovskita,Perovskita,99.74,221,3,4.0
1520896,Sr4.002Pr1.998Fe6O17.658,Perovskita,Perovskita,99.71,167,3,4.0
1520951,Ba0.9La5.1Mn6O18,Perovskita,Perovskita,99.84,167,3,4.0
1520952,Ba1.35La4.65Mn6O18,Perovskita,Perovskita,99.84,167,3,4.0
1521063,BaCeO3,Perovskita,Perovskita,84.29,167,3,3.0
1521105,La4.2Mn5.4Fe0.6Pb1.8O18,Perovskita,Perovskita,99.38,167,3,5.0
1521106,La4.2Mn5.4Ni0.6Pb1.8O18,Perovskita,Perovskita,99.51,167,3,5.0
1521175,PrAlO3,Perovskita,Perovskita,99.86,167,3,3.0
1521178,NdAlO3,Perovskita,Perovskita,99.85,167,3,3.0
1521246,Na0.6Sr0.4Ta1O3,Perovskita,Perovskita,98.87,221,3,4.0
1521248,Na0.7Sr0.3Ta1O3,Perovskita,Perovskita,98.37,221,3,4.0
1521267,Ba0.256Sr0.744Ti1O3,Perovskita,Perovskita,99.85,221,3,4.0
1521268,Ba0.2496Sr0.7488Zr0.2832Ti0.7152O3,Perovskita,Perovskita,99.87,221,3,5.0
1521269,Ba0.272Sr0.728Zr0.4032Ti0.5968O3,Perovskita,Perovskita,99.88,221,3,5.0
1521335,Sr0.4La1.6Mn2O5.802,Perovskita,Perovskita,89.27,167,3,4.0
1521435,D3LiEu,Perovskita,Perovskita,98.16,221,3,3.0
